gene_symbol,Ssr2
gene_accession_id,MGI:1913506
analysis_id,157t5p4lw2746d1
parameter_name,Chloride
mouse_life_stage,Early adult
parameter_id,HMGULA_CBC_003_001
pvalue,0.1489834
mouse_strain,C53BL
