gene_symbol,Rab22a
analysis_id,419g2r8o5t7t5k4
mouse_strain,C57BL
parameter_id,IMPC_HEM_036_001
parameter_name,Eosinophil cell count
pvalue,0.06394125
gene_accession_id,MGI:105072
mouse_life_stage,Early adult
