analysis_id,pi4249454g737nl
parameter_name,Body Weight
mouse_strain,C57BL
pvalue,0.518725
parameter_id,M-G-P_020_001_001
gene_accession_id,MGI:1915325
gene_symbol,Lurap1
mouse_life_stage,Early adult
