analysis_id,43i07v87r59mb11
gene_accession_id,MGI:97838
mouse_strain,C57BL
parameter_id,IMPC_GEO_009_002
pvalue,0.9468007
parameter_name,Hemorrhage
gene_symbol,Eprs1
mouse_life_stage,E12.5
