analysis_id,41fd9063c056595
mouse_life_stage,E12.5
parameter_id,IMPC_XRY_027_001
parameter_name,Joints
pvalue,0.2338377
gene_accession_id,MGI:95835
mouse_strain,C57BL
gene_symbol,Hspa5
