parameter_id,IMPC_EYE_013_001
analysis_id,b1bj6t50kqq529i
parameter_name,Pupil Dilation
gene_symbol,Bcs1l
mouse_life_stage,Early adult
pvalue,0.1621875
gene_accession_id,MGI:1914071
mouse_strain,C57BL
