analysis_id,8jz2qj9mx63rlup
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,IMPC_FEA_107_001
gene_symbol,Ints7
pvalue,0.2928546
parameter_name,Difference in Conditioning Post-shock and Conditioning Baseline % Freezing
gene_accession_id,MGI:1924315
