analysis_id,3nzf0owj4v3lxa0
parameter_id,M-G-P_012_001_005
mouse_strain,C57BL
parameter_name,Body Weight
gene_symbol,Frmpd1
gene_accession_id,MGI:2446274
mouse_life_stage,Middle aged adult
pvalue,0.7532244
