gene_symbol,Jun
parameter_name,CD4+ KLRG1+ alpha beta T cell number
pvalue,0.8878445
gene_accession_id,MGI:96646
mouse_life_stage,E15.5
parameter_id,MGP_PBI_032_001
mouse_strain,C57BL
analysis_id,i2ogo6uv4e7z2n9
