analysis_id,0z7xe1405z6swz6
mouse_strain,C57BL
parameter_name,Distance travelled - total
parameter_id,HRWLLA_OFD_020_001
pvalue,0.505448
gene_symbol,Dnajc5b
gene_accession_id,MGI:1913576
mouse_life_stage,Early adult
