analysis_id,6949z8ej9p693o3
mouse_strain,129SV
parameter_id,ESLIM_011_001_702
gene_accession_id,MGI:1920638
parameter_name,Prepulse inhibition - PP2
pvalue,0.7104928
gene_symbol,Bpifa3
mouse_life_stage,Early adult
