analysis_id,08g1fzaxc31ncq5
mouse_strain,C57BL
gene_accession_id,MGI:2651854
parameter_name,Total T cells - % of CD45+
parameter_id,MGP_MLN_001_001
gene_symbol,Atg4c
mouse_life_stage,Early adult
pvalue,0.733505
