analysis_id,0d1f9quc90kp7e7
mouse_life_stage,Early adult
gene_symbol,Sgip1
gene_accession_id,MGI:1920344
mouse_strain,C57BL
parameter_name,Retina (combined)
pvalue,0.06236406
parameter_id,IMPC_EYE_092_001
