analysis_id,tw544qbq64m6jgl
mouse_life_stage,Early adult
parameter_id,MGP_MLN_093_001
parameter_name,KLRG1+ NK cells - % of CD45+
mouse_strain,C57BL
gene_symbol,Kcng1
pvalue,0.4717954
gene_accession_id,MGI:3616086
