gene_symbol,AU040320
pvalue,0.6448114
gene_accession_id,MGI:2140475
parameter_id,IMPC_ECH_018_001
mouse_strain,C57BL
analysis_id,37t4oz2bf54934q
parameter_name,Respiration Rate
mouse_life_stage,Early adult
