analysis_id,1war1lc4pa930x7
mouse_life_stage,Early adult
parameter_name,Resting CD4+ T helper cells - % of CD45+
gene_symbol,Car13
parameter_id,MGP_MLN_067_001
gene_accession_id,MGI:1931322
mouse_strain,C57BL
pvalue,0.3192555
