gene_symbol,Lurap1
analysis_id,j53o2l5kvy1pg20
parameter_name,center - distance
pvalue,0.1110458
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,M-G-P_007_001_010
gene_accession_id,MGI:1915325
