analysis_id,k6500k22zwh669n
gene_symbol,Slc39a10
mouse_life_stage,E9.5
pvalue,0.6411453
mouse_strain,C57BL
parameter_id,IMPC_XRY_022_001
parameter_name,Radius
gene_accession_id,MGI:1914515
