parameter_name,Glucose
analysis_id,16p1fvp26w1476j
mouse_life_stage,Late adult
gene_accession_id,MGI:1336200
gene_symbol,Hpca
mouse_strain,C57BL
pvalue,0.98521
parameter_id,IMPC_CBC_018_001
