gene_symbol,Cds2
parameter_name,Creatinine
gene_accession_id,MGI:1332236
mouse_life_stage,Early adult
analysis_id,3yk1es23b5i595g
pvalue,0.3164378
mouse_strain,C57BL
parameter_id,HMGULA_CBC_005_001
