parameter_id,HRWLLA_FEA_015_001
mouse_life_stage,E12.5
gene_accession_id,MGI:95457
mouse_strain,C57BL
analysis_id,ni2d7089l0599l3
parameter_name,Cue Baseline % Freezing Time
gene_symbol,Mecom
pvalue,0.2844524
