analysis_id,4m3mlic0268yiiu
parameter_id,HRWLLA_FEA_015_001
gene_symbol,AU040320
parameter_name,Cue Baseline % Freezing Time
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.1202384
gene_accession_id,MGI:2140475
