parameter_id,CCP_LFO_001_001
parameter_name,Weight
pvalue,0.646075
gene_symbol,Wars2
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1917810
analysis_id,zy4fow96h1bhn97
