gene_symbol,Bmp7
pvalue,0.6364025
mouse_life_stage,Early adult
gene_accession_id,MGI:103302
mouse_strain,C57BL
parameter_name,Center resting time
parameter_id,JAX_OFD_015_001
analysis_id,nc0g1s5126z1l82
