analysis_id,zi4173602q2590z
mouse_life_stage,Early adult
parameter_name,Red blood cell distribution width
pvalue,0.8222482
gene_accession_id,MGI:2446186
parameter_id,IMPC_HEM_027_001
gene_symbol,Lpgat1
mouse_strain,C57BL
