parameter_name,Startle Response
analysis_id,6otanhtevgwaqo7
mouse_strain,C57BL
gene_accession_id,MGI:2444554
gene_symbol,Mapkap1
pvalue,0.8274757
parameter_id,M-G-P_008_001_013
mouse_life_stage,Early adult
