parameter_name,Heart looping
analysis_id,s091730l15118di
pvalue,0.8967349
mouse_strain,C57BL
parameter_id,IMPC_GEL_057_001
gene_symbol,Wars2
gene_accession_id,MGI:1917810
mouse_life_stage,E9.5
