analysis_id,75687cn498itp1w
pvalue,0.1097662
mouse_strain,C57BL
parameter_name,lens opacity
gene_symbol,Ubxn11
gene_accession_id,MGI:1914836
parameter_id,M-G-P_014_001_010
mouse_life_stage,Early adult
