parameter_name,lens
pvalue,0.7858363
parameter_id,M-G-P_014_001_009
gene_accession_id,MGI:1913838
gene_symbol,Cmpk1
mouse_life_stage,Early adult
analysis_id,0424l2p729k80xq
mouse_strain,C57BL
