parameter_name,Ventral coat/hair presence
gene_symbol,Sfpq
mouse_life_stage,Early adult
parameter_id,MGP_CSD_025_001
analysis_id,2hocly04v3199x9
gene_accession_id,MGI:1918764
mouse_strain,C57BL
pvalue,0.08128104
