analysis_id,97jx95l3wj8m28p
gene_accession_id,MGI:109356
parameter_name,Neural tube morphology
mouse_strain,C57BL
parameter_id,IMPC_GEL_060_001
pvalue,0.5710316
mouse_life_stage,Early adult
gene_symbol,Snap23
