analysis_id,j7tf20k40cfx527
pvalue,0.6793646
gene_accession_id,MGI:2444777
mouse_life_stage,Early adult
parameter_id,IMPC_CSD_012_001
gene_symbol,Ncaph
mouse_strain,C57BL
parameter_name,Coat - hair distribution - head
