parameter_name,Midbrain
mouse_life_stage,Early adult
gene_accession_id,MGI:95835
mouse_strain,C57BL
pvalue,0.5356854
parameter_id,IMPC_GEL_029_001
analysis_id,wln4fw98vx34j3h
gene_symbol,Hspa5
