analysis_id,ltn86354m86lwx1
mouse_strain,C57BL
parameter_id,HRWLLA_OFD_013_001
gene_accession_id,MGI:2446274
mouse_life_stage,Early adult
gene_symbol,Frmpd1
pvalue,0.05557866
parameter_name,Periphery average speed
