analysis_id,5phh4r64l56lm0i
gene_accession_id,MGI:1913483
pvalue,0.6245646
parameter_name,CD11b-low cDC - % of cDC
mouse_life_stage,Early adult
parameter_id,MGP_IMM_067_001
gene_symbol,Dmap1
mouse_strain,C57BL
