analysis_id,h1nj0442vs34eco
gene_symbol,Bcs1l
parameter_name,Startle response
gene_accession_id,MGI:1914071
pvalue,0.8950981
mouse_strain,C57BL
parameter_id,IMPC_CSD_036_001
mouse_life_stage,Early adult
