mouse_life_stage,Early adult
parameter_id,M-G-P_020_001_001
parameter_name,Body Weight
pvalue,0.1310094
analysis_id,b8sxmv0qf78z7hp
mouse_strain,C57BL
gene_symbol,Pex19
gene_accession_id,MGI:1334458
