analysis_id,6e79pf2zkpka7ke
parameter_name,Effector CD4+ T helper cells - % of CD45+
pvalue,0.2517978
gene_symbol,Lpgat1
gene_accession_id,MGI:2446186
parameter_id,MGP_IMM_073_001
mouse_life_stage,E18.5
mouse_strain,C57BL
