parameter_name,B2B Cells
analysis_id,n7bw5hi0435uw19
pvalue,0.2735312
gene_symbol,Dcaf12
mouse_strain,C57BL
gene_accession_id,MGI:1916220
parameter_id,IMPC_IMM_065_001
mouse_life_stage,Early adult
