parameter_name,Periphery distance travelled
gene_symbol,Zfp683
parameter_id,HRWLLA_OFD_010_001
mouse_life_stage,Early adult
gene_accession_id,MGI:3650254
pvalue,0.202998
mouse_strain,C57BL
analysis_id,9ny1jzm15qhb48u
