analysis_id,94x15o9fn6a32kf
gene_symbol,Rab13
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,IMPC_CSD_036_001
parameter_name,Startle response
pvalue,0.9492626
gene_accession_id,MGI:1927232
