parameter_id,IMPC_FEA_106_001
mouse_strain,C57BL
gene_symbol,Cisd2
analysis_id,9yz2yg29e1j85k3
pvalue,0.4369687
mouse_life_stage,Early adult
parameter_name,Difference in Cue Tone and Cue Baseline % Freezing
gene_accession_id,MGI:1914256
