parameter_name,cDCs CD11b Type
gene_symbol,Sgip1
mouse_life_stage,Early adult
pvalue,0.9506242
analysis_id,0y083q7hs9b727o
mouse_strain,C57BL
parameter_id,IMPC_IMM_073_001
gene_accession_id,MGI:1920344
