parameter_name,Head morphology
parameter_id,MGP_CSD_064_001
analysis_id,lf1yi9c120eqcm3
pvalue,0.2543754
gene_accession_id,MGI:1913576
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Dnajc5b
