analysis_id,1007gh9o341q417
parameter_id,IMPC_GEL_006_001
gene_accession_id,MGI:1921802
mouse_life_stage,Early adult
mouse_strain,129SV
gene_symbol,Nipal3
pvalue,0.930518
parameter_name,Pericardium Morphology
