parameter_name,Anophthalmia
pvalue,0.05910031
gene_accession_id,MGI:97054
parameter_id,IMPC_GEO_048_002
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Mov10
analysis_id,bd0op9p2zwna49s
