parameter_name,eye size
pvalue,0.616686
mouse_life_stage,Early adult
parameter_id,ESLIM_001_001_117
gene_symbol,Snap23
mouse_strain,C57BL
analysis_id,07u70737gr2e683
gene_accession_id,MGI:109356
