parameter_name,Percent time in light
gene_symbol,WARS2
analysis_id,ku1i39r631706o8
pvalue,0.2714938
gene_accession_id,MGI:1917810
mouse_strain,C57BL
mouse_life_stage,E12.5
parameter_id,IMPC_LDT_008_001
