gene_symbol,Cdin1
parameter_id,IMPC_OFD_007_001
parameter_name,Whole arena resting time
mouse_life_stage,E9.5
gene_accession_id,MGI:3026886
mouse_strain,C57BL
pvalue,0.2505479
analysis_id,t108qt1i1lvej22
