gene_symbol,Col6a3
parameter_id,IMPC_EYE_016_001
gene_accession_id,MGI:88461
pvalue,0.3076576
mouse_life_stage,Early adult
parameter_name,Lens
analysis_id,es118e5q2n61695
mouse_strain,C57BL
