parameter_name,Femur
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1921262
pvalue,0.06936173
analysis_id,8z3r83v282710x4
parameter_id,IMPC_XRY_024_001
gene_symbol,Rap2b
