gene_symbol,Zcchc2
mouse_life_stage,Early adult
parameter_id,IMPC_FEA_106_001
mouse_strain,C57BL
parameter_name,Difference in Cue Tone and Cue Baseline % Freezing
gene_accession_id,MGI:2444114
pvalue,0.9906401
analysis_id,tj549fur45vf5t8
