analysis_id,1mkza828x743354
parameter_name,Total CD4+ T cells - % of CD45+
pvalue,0.6828806
gene_accession_id,MGI:1918025
mouse_strain,C57BL
gene_symbol,Zmynd8
parameter_id,MGP_MLN_064_001
mouse_life_stage,Early adult
