parameter_name,Center resting time
pvalue,0.9267896
mouse_strain,C57BL
gene_accession_id,MGI:2446186
parameter_id,JAX_OFD_015_001
analysis_id,4ge3lhrd8y41t11
mouse_life_stage,Middle aged adult
gene_symbol,Lpgat1
