parameter_id,JAX_TLS_001_001
mouse_life_stage,E9.5
gene_accession_id,MGI:1917810
mouse_strain,C57BL
pvalue,0.2071787
parameter_name,Time immobile
gene_symbol,Wars2
analysis_id,3x2tsih69s67rlw
