parameter_name,HDL-cholesterol
parameter_id,HMGULA_CBC_016_001
gene_accession_id,MGI:1914561
mouse_strain,C57BL
pvalue,0.6340691
analysis_id,299m1442vfbe546
mouse_life_stage,E18.5
gene_symbol,Nanp
