parameter_name,Coat colouration
pvalue,0.6198815
gene_symbol,Ufc1
analysis_id,6gl8h2phkrq54h4
mouse_life_stage,Early adult
gene_accession_id,MGI:1913405
parameter_id,M-G-P_026_001_004
mouse_strain,C57BL
