analysis_id,ia1r82x762x93q4
parameter_name,Hemoglobin
gene_symbol,Cmpk1
mouse_life_stage,Early adult
gene_accession_id,MGI:1913838
parameter_id,IMPC_HEM_003_001
pvalue,0.5667009
mouse_strain,C57BL
