gene_symbol,Fgb
gene_accession_id,MGI:99501
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Resting CD8+ T cells - % of CD8+
pvalue,0.7564083
parameter_id,MGP_IMM_015_001
analysis_id,899ldo32iy0tl47
