parameter_name,Bone Mineral Content
pvalue,0.6734444
mouse_strain,C57BL
gene_symbol,Ntmt2
mouse_life_stage,Early adult
gene_accession_id,MGI:2685053
parameter_id,ESLIM_005_001_005
analysis_id,e8ck6hz709cf4p5
