gene_symbol,Jun
parameter_name,Coat colouration
mouse_life_stage,E9.5
mouse_strain,C57BL
gene_accession_id,MGI:96646
pvalue,0.3407526
parameter_id,M-G-P_026_001_004
analysis_id,39m69ok1k6208d9
