analysis_id,20crjy66nw11n23
mouse_strain,C57BL
parameter_id,IMPC_HEM_002_001
parameter_name,Red blood cell count
mouse_life_stage,Early adult
gene_accession_id,MGI:2446274
pvalue,0.4303036
gene_symbol,Frmpd1
