mouse_strain,129SV
gene_symbol,Ddx27
analysis_id,n105pd486qap694
pvalue,0.488233
parameter_id,HMGULA_CBC_015_001
mouse_life_stage,Early adult
parameter_name,Total cholesterol
gene_accession_id,MGI:2385884
