analysis_id,jp20zjf0vgep9tu
mouse_strain,C57BL
parameter_id,IMPC_IMM_004_002
gene_accession_id,MGI:1918764
pvalue,0.167353
gene_symbol,Sfpq
parameter_name,NKT cells (panel A) - % of live leukocytes (Panel A)
mouse_life_stage,Early adult
